UF,AtividadeEconomica,Idade,Trabalhadores,Populacao
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",41,360.10339382,8456.75883344
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",42,170.4666068,5162.95133394
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",43,387.09577306000006,6015.62146532
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",44,265.38324699,5679.1596579199995
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",45,133.46510093,5897.7298336
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",46,76.36216908,3926.25437926
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",47,238.10326475,6727.2466812
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",48,225.47663316,3240.25862862
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",49,285.69178395,5640.72563146
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",50,282.32029306000004,3550.77272258
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",51,213.36245663,4852.39077356
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",52,251.74866516999998,3580.89881544
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",53,280.81496205,5565.42472846
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",55,254.07649268,6050.31068678
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",56,327.14162668,4657.06221208
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",57,80.58605945,4383.86935878
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",59,94.24366742,5459.41677276
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",60,358.90308576,4027.26694686
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",61,549.05598514,4609.18612536
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",63,425.16233446,3537.1247897
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",64,180.98278026,3281.33463666
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",67,108.75851838,3007.10400124
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",68,44.4938529,2070.90036722
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",69,142.59657172,2656.30587264
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",71,52.87904148,1204.96084702
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",73,117.58756532000001,1064.90990918
AC,ALOJAMENTO E ALIMENTAÇÃO,18,128.41642804,8975.4511213
AC,ALOJAMENTO E ALIMENTAÇÃO,19,180.77550448,6810.28649638
AC,ALOJAMENTO E ALIMENTAÇÃO,22,84.38319065,5173.3849322
AC,ALOJAMENTO E ALIMENTAÇÃO,23,230.95426032,10262.97585742
AC,ALOJAMENTO E ALIMENTAÇÃO,24,104.52086444,8587.99815982
AC,ALOJAMENTO E ALIMENTAÇÃO,25,278.97817921,7056.817904959999
AC,ALOJAMENTO E ALIMENTAÇÃO,26,133.81430969000002,8543.07477882
AC,ALOJAMENTO E ALIMENTAÇÃO,27,116.12445249,8451.25057636
AC,ALOJAMENTO E ALIMENTAÇÃO,31,55.05285571,9450.11938006
AC,ALOJAMENTO E ALIMENTAÇÃO,32,134.25309042,6156.2153758800005
AC,ALOJAMENTO E ALIMENTAÇÃO,34,299.67503142,8864.90380416
AC,ALOJAMENTO E ALIMENTAÇÃO,35,186.1763581,6484.05573228
AC,ALOJAMENTO E ALIMENTAÇÃO,38,383.49904365,6863.89740362
AC,ALOJAMENTO E ALIMENTAÇÃO,39,221.12842970999998,8540.30380048
AC,ALOJAMENTO E ALIMENTAÇÃO,40,230.95426032,6561.0573247
AC,ALOJAMENTO E ALIMENTAÇÃO,41,468.65873534,8456.75883344
AC,ALOJAMENTO E ALIMENTAÇÃO,46,86.01234032,3926.25437926
AC,ALOJAMENTO E ALIMENTAÇÃO,48,104.52086444,3240.25862862
AC,ALOJAMENTO E ALIMENTAÇÃO,49,98.20267473,5640.72563146
AC,ALOJAMENTO E ALIMENTAÇÃO,50,118.29095359,3550.77272258
AC,ALOJAMENTO E ALIMENTAÇÃO,53,106.93193261,5565.42472846
AC,ALOJAMENTO E ALIMENTAÇÃO,55,190.90887086,6050.31068678
AC,ALOJAMENTO E ALIMENTAÇÃO,59,78.10377606,5459.41677276
AC,ALOJAMENTO E ALIMENTAÇÃO,65,170.71881122000002,4328.33540952
AC,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",41,110.14468314,8456.75883344
AC,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",50,118.29095359,3550.77272258
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,20,104.52086444,7805.82394052
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,22,123.36715363,5173.3849322
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,23,80.58605945,10262.97585742
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,25,137.97126111,7056.817904959999
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,26,136.74523906,8543.07477882
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,27,439.55036062,8451.25057636
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,28,230.95426032,7045.94143634
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,29,73.74043661,9194.74155588
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,30,236.61282337,5596.1368507199995
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,32,304.69469693,6156.2153758800005
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,34,64.56571011,8864.90380416
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,36,198.07025904,6780.0318072400005
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,37,530.23298076,6197.73678466
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,38,92.61503516,6863.89740362
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,39,136.74523906,8540.30380048
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,40,230.02071022,6561.0573247
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,41,78.10377606,8456.75883344
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,42,180.77550448,5162.95133394
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,43,521.89159993,6015.62146532
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,44,116.12445249,5679.1596579199995
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,45,73.74043661,5897.7298336
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,47,103.81237053,6727.2466812
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,50,98.20267473,3550.77272258
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,51,104.52086444,4852.39077356
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,55,142.83865267,6050.31068678
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,57,98.20267473,4383.86935878
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,60,86.01234032,4027.26694686
AC,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,65,327.14162668,4328.33540952
AC,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",20,76.77722065,7805.82394052
AC,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",29,99.86758431,9194.74155588
AC,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",31,87.02258553,9450.11938006
AC,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",39,73.93603459,8540.30380048
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",20,110.14468314,7805.82394052
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",23,118.29095359,10262.97585742
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",26,130.57174783,8543.07477882
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",32,99.08891331,6156.2153758800005
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",35,102.38344338,6484.05573228
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",36,99.08891331,6780.0318072400005
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",38,118.29095359,6863.89740362
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",41,102.38344338,8456.75883344
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",42,84.38319065,5162.95133394
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",44,73.93603459,5679.1596579199995
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",45,148.1448141,5897.7298336
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",47,102.38344338,6727.2466812
AC,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",64,99.86758431,3281.33463666
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,15,127.5348951,8410.12956692
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,18,78.10377606,8975.4511213
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,19,328.92407118,6810.28649638
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,20,369.00717081000005,7805.82394052
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,21,435.95226625,8689.40543698
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,22,242.95002168999997,5173.3849322
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,23,261.93599779,10262.97585742
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,24,468.94926034,8587.99815982
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,25,1124.3560148000001,7056.817904959999
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,26,306.85997792,8543.07477882
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,27,264.26926659,8451.25057636
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,28,628.54232756,7045.94143634
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,29,357.83129944,9194.74155588
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,30,357.46019009,5596.1368507199995
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,31,1079.50191341,9450.11938006
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,32,131.19638291,6156.2153758800005
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,33,645.0260192200001,6230.08170684
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,34,427.00921099,8864.90380416
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,35,999.53105172,6484.05573228
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,36,397.56383519,6780.0318072400005
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,37,116.12445249,6197.73678466
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,38,178.45689903,6863.89740362
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,39,447.99762862,8540.30380048
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,40,332.80487679,6561.0573247
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,41,597.22613824,8456.75883344
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,42,518.423191,5162.95133394
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,43,106.93193261,6015.62146532
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,44,111.07005192,5679.1596579199995
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,45,78.10377606,5897.7298336
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,148.1448141,3926.25437926
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,404.11474195,6727.2466812
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,49,283.26020369,5640.72563146
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,51,188.55789266,4852.39077356
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,52,226.61910276999998,3580.89881544
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,53,309.19193252,5565.42472846
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,54,145.15176956,3835.56554408
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,56,173.60802092,4657.06221208
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,63,148.94890076000001,3537.1247897
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,64,157.18074527,3281.33463666
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,65,204.50778242,4328.33540952
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,67,268.75133462,3007.10400124
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,69,185.23007032,2656.30587264
AC,COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,82,73.74043661,1598.00463692
AC,CONSTRUÇÃO,21,80.58605945,8689.40543698
AC,CONSTRUÇÃO,23,104.52086444,10262.97585742
AC,CONSTRUÇÃO,27,139.13765116,8451.25057636
AC,CONSTRUÇÃO,28,249.41805343,7045.94143634
AC,CONSTRUÇÃO,29,407.72768613,9194.74155588
AC,CONSTRUÇÃO,30,78.10377606,5596.1368507199995
AC,CONSTRUÇÃO,31,73.09371242,9450.11938006
AC,CONSTRUÇÃO,32,188.19556118,6156.2153758800005
AC,CONSTRUÇÃO,33,202.13679281,6230.08170684
AC,CONSTRUÇÃO,34,199.5120742,8864.90380416
AC,CONSTRUÇÃO,35,378.89601776,6484.05573228
AC,CONSTRUÇÃO,36,73.93603459,6780.0318072400005
AC,CONSTRUÇÃO,38,329.54750958,6863.89740362
AC,CONSTRUÇÃO,40,202.90128384,6561.0573247
AC,CONSTRUÇÃO,42,80.58605945,5162.95133394
AC,CONSTRUÇÃO,43,368.61891893,6015.62146532
AC,CONSTRUÇÃO,44,139.43604636,5679.1596579199995
AC,CONSTRUÇÃO,47,173.41366929,6727.2466812
AC,CONSTRUÇÃO,49,106.93193261,5640.72563146
AC,CONSTRUÇÃO,50,148.1448141,3550.77272258
AC,CONSTRUÇÃO,53,111.07005192,5565.42472846
AC,CONSTRUÇÃO,54,76.36216908,3835.56554408
AC,CONSTRUÇÃO,55,103.81237053,6050.31068678
AC,CONSTRUÇÃO,58,205.31353912,3860.8986475
AC,CONSTRUÇÃO,61,64.56571011,4609.18612536
AC,EDUCAÇÃO,19,73.89834184,6810.28649638
AC,EDUCAÇÃO,20,35.81291135,7805.82394052
AC,EDUCAÇÃO,22,84.38319065,5173.3849322
AC,EDUCAÇÃO,24,73.89834184,8587.99815982
AC,EDUCAÇÃO,25,176.28178522000002,7056.817904959999
AC,EDUCAÇÃO,26,377.9642048,8543.07477882
AC,EDUCAÇÃO,27,223.23377642000003,8451.25057636
AC,EDUCAÇÃO,28,166.38465918,7045.94143634
AC,EDUCAÇÃO,29,157.65533896,9194.74155588
AC,EDUCAÇÃO,30,69.12991148,5596.1368507199995
AC,EDUCAÇÃO,31,166.59839977000001,9450.11938006
AC,EDUCAÇÃO,32,88.52542748,6156.2153758800005
AC,EDUCAÇÃO,33,173.41366929,6230.08170684
AC,EDUCAÇÃO,34,483.30055524,8864.90380416
AC,EDUCAÇÃO,36,104.17470201,6780.0318072400005
AC,EDUCAÇÃO,37,104.52086444,6197.73678466
AC,EDUCAÇÃO,38,318.04765411,6863.89740362
AC,EDUCAÇÃO,39,99.08891331,8540.30380048
AC,EDUCAÇÃO,40,258.87928053999997,6561.0573247
AC,EDUCAÇÃO,41,391.63637952,8456.75883344
AC,EDUCAÇÃO,42,173.41366929,5162.95133394
AC,EDUCAÇÃO,44,364.61095683,5679.1596579199995
AC,EDUCAÇÃO,45,291.80118265,5897.7298336
AC,EDUCAÇÃO,46,184.39842998,3926.25437926
AC,EDUCAÇÃO,47,537.78520758,6727.2466812
AC,EDUCAÇÃO,48,102.38344338,3240.25862862
AC,EDUCAÇÃO,49,173.41366929,5640.72563146
AC,EDUCAÇÃO,50,309.19193252,3550.77272258
AC,EDUCAÇÃO,51,173.41366929,4852.39077356
AC,EDUCAÇÃO,52,69.12991148,3580.89881544
AC,EDUCAÇÃO,53,148.1448141,5565.42472846
AC,EDUCAÇÃO,54,128.41642804,3835.56554408
AC,EDUCAÇÃO,55,434.54327555,6050.31068678
AC,EDUCAÇÃO,56,275.22644768,4657.06221208
