"UF","Estado","Regiao","Sexo","TipoDeTrabalho","Quantidade"
GO,Goiás,Centro-Oeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",5448
GO,Goiás,Centro-Oeste,"1","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",1453
GO,Goiás,Centro-Oeste,"1",ALOJAMENTO E ALIMENTAÇÃO,1044
GO,Goiás,Centro-Oeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,1827
GO,Goiás,Centro-Oeste,"1","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",375
GO,Goiás,Centro-Oeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,13607
GO,Goiás,Centro-Oeste,"1",CONSTRUÇÃO,2224
GO,Goiás,Centro-Oeste,"1",EDUCAÇÃO,468
GO,Goiás,Centro-Oeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,3660
GO,Goiás,Centro-Oeste,"1",INFORMAÇÃO E COMUNICAÇÃO,964
GO,Goiás,Centro-Oeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,1514
GO,Goiás,Centro-Oeste,"1",SERVIÇOS DOMÉSTICOS,2035
GO,Goiás,Centro-Oeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",1298
GO,Goiás,Centro-Oeste,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",762
GO,Goiás,Centro-Oeste,"2","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",643
GO,Goiás,Centro-Oeste,"2",ALOJAMENTO E ALIMENTAÇÃO,1980
GO,Goiás,Centro-Oeste,"2",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,1208
GO,Goiás,Centro-Oeste,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",1006
GO,Goiás,Centro-Oeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,5249
GO,Goiás,Centro-Oeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,2915
GO,Goiás,Centro-Oeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,300
GO,Goiás,Centro-Oeste,"2",SAÚDE HUMANA E SERVIÇOS SOCIAIS,871
GO,Goiás,Centro-Oeste,"2",SERVIÇOS DOMÉSTICOS,2742
MA,Maranhão,Nordeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",8522
MA,Maranhão,Nordeste,"1","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",171
MA,Maranhão,Nordeste,"1",ALOJAMENTO E ALIMENTAÇÃO,913
MA,Maranhão,Nordeste,"1","ARTES, CULTURA, ESPORTE E RECREAÇÃO",286
MA,Maranhão,Nordeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,417
MA,Maranhão,Nordeste,"1","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",376
MA,Maranhão,Nordeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,12294
MA,Maranhão,Nordeste,"1",CONSTRUÇÃO,1886
MA,Maranhão,Nordeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,792
MA,Maranhão,Nordeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,837
MA,Maranhão,Nordeste,"1",SERVIÇOS DOMÉSTICOS,99
MA,Maranhão,Nordeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",1301
MA,Maranhão,Nordeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2556
MA,Maranhão,Nordeste,"2",ALOJAMENTO E ALIMENTAÇÃO,1089
MA,Maranhão,Nordeste,"2","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",124
MA,Maranhão,Nordeste,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",99
MA,Maranhão,Nordeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,4631
MA,Maranhão,Nordeste,"2",EDUCAÇÃO,175
MA,Maranhão,Nordeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,928
MA,Maranhão,Nordeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,1172
MA,Maranhão,Nordeste,"2",SERVIÇOS DOMÉSTICOS,3405
MA,Maranhão,Nordeste,"2","TRANSPORTE, ARMAZENAGEM E CORREIO",244
MG,Minas Gerais,Sudeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",872
MG,Minas Gerais,Sudeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",38804
MG,Minas Gerais,Sudeste,"1","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",360
MG,Minas Gerais,Sudeste,"1",ALOJAMENTO E ALIMENTAÇÃO,9450
MG,Minas Gerais,Sudeste,"1","ARTES, CULTURA, ESPORTE E RECREAÇÃO",1300
MG,Minas Gerais,Sudeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,5294
MG,Minas Gerais,Sudeste,"1","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",1700
MG,Minas Gerais,Sudeste,"1","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",1015
MG,Minas Gerais,Sudeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,32517
MG,Minas Gerais,Sudeste,"1",CONSTRUÇÃO,9563
MG,Minas Gerais,Sudeste,"1",EDUCAÇÃO,1442
MG,Minas Gerais,Sudeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,15096
MG,Minas Gerais,Sudeste,"1",INFORMAÇÃO E COMUNICAÇÃO,1339
MG,Minas Gerais,Sudeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,8239
MG,Minas Gerais,Sudeste,"1",SAÚDE HUMANA E SERVIÇOS SOCIAIS,863
MG,Minas Gerais,Sudeste,"1",SERVIÇOS DOMÉSTICOS,1590
MG,Minas Gerais,Sudeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",4193
MG,Minas Gerais,Sudeste,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",873
MG,Minas Gerais,Sudeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",3256
MG,Minas Gerais,Sudeste,"2",ALOJAMENTO E ALIMENTAÇÃO,6514
MG,Minas Gerais,Sudeste,"2","ARTES, CULTURA, ESPORTE E RECREAÇÃO",1322
MG,Minas Gerais,Sudeste,"2",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,3109
MG,Minas Gerais,Sudeste,"2","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",1037
MG,Minas Gerais,Sudeste,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",956
